street_modern,hnyc_street_name,street_alt,Left_Low,Left_High,Right_Low,Right_High,ED_Left,ED_Right,OBJECTID,JoinID,Name
NA,ORIENT AVE,NA,353,391,308,346,173,173,22640,G00022192,ORIENT AVE
NA,SCOTT AVE,NA,243,255,244,256,173,173,22641,G00022193,SCOTT AVE
NA,ORIENT AVE,NA,393,431,348,386,173,173,22642,G00022194,ORIENT AVE
NA,SENECA AVE,NA,217,231,218,232,173,173,22643,G00022195,SENECA AVE
NA,MASPETH AVE,NA,367,395,374,402,172,173,22644,G00022196,MASPETH AVE
NA,SCOTT AVE,NA,257,275,258,276,173,173,22645,G00022197,SCOTT AVE
NA,MASPETH AVE,NA,397,405,404,412,172,173,22646,G00022198,MASPETH AVE
MASPETH AVE,MASPETH AVE,NA,407,445,414,452,172,173,22647,G00022199,MASPETH AVE
NA,SENECA AVE,NA,233,251,234,252,173,173,22648,G00022200,SENECA AVE
MASPETH AVE,MASPETH AVE,NA,NA,NA,NA,NA,172,173,22649,G00022201,MASPETH AVE
NA,CEMETERY LN,NA,NA,NA,NA,NA,179,179,22654,G00022202,CEMETERY LN
NA,GRANITE,NA,NA,NA,NA,NA,179,179,22655,G00022203,GRANITE
NA,GRANITE,NA,209,229,210,230,179,179,22656,G00022204,GRANITE
NA,HAMBURG,NA,721,729,706,712,179,179,22657,G00022205,HAMBURG
NA,CEMETERY LN,NA,NA,NA,NA,NA,179,179,22658,G00022206,CEMETERY LN
NA,PILLING,NA,173,229,174,230,179,179,22659,G00022207,PILLING
NA,HAMBURG,NA,701,719,686,704,179,179,22660,G00022208,HAMBURG
NA,HAMBURG,NA,681,699,666,684,179,179,22661,G00022209,HAMBURG
NA,GRANITE,NA,231,279,232,278,179,179,22662,G00022210,GRANITE
NA,PILLING,NA,231,289,232,288,179,179,22663,G00022211,PILLING
NA,STOCKHOLM,NA,431,437,432,438,177,NA,22674,G00022212,STOCKHOLM
NA,DE KALB AVE,NA,1731,1753,1728,1748,177,177,22675,G00022213,DE KALB AVE
NA,ELM,NA,423,451,424,450,177,177,22676,G00022214,ELM
NA,SUYDAM,NA,477,515,476,512,178,177,22677,G00022215,SUYDAM
NA,MYRTLE,NA,481,529,482,526,178,178,22678,G00022216,MYRTLE
NA,TROUTMAN,NA,483,503,488,508,175,178,22679,G00022217,TROUTMAN
NA,STARR,NA,343,387,340,384,178,178,22680,G00022218,STARR
NA,FLUSHING AVE,NA,NA,NA,NA,NA,174,175,22681,G00022219,FLUSHING AVE
NA,PETERS PL,NA,NA,NA,NA,NA,175,175,22682,G00022220,PETERS PL
NA,TROUTMAN,NA,505,525,510,532,175,178,22683,G00022221,TROUTMAN
NA,FLUSHING AVE,NA,NA,NA,NA,NA,174,175,22684,G00022222,FLUSHING AVE
NA,COVERT AVE,NA,NA,NA,NA,NA,NA,175,22685,G00022223,COVERT AVE
NA,S 8,NA,1,25,2,30,113,114,22686,G00022224,S 8
NA,S 9,NA,1,21,2,16,114,114,22687,G00022225,S 9
NA,S 10,NA,1,17,2,18,114,114,22688,G00022226,S 10
NA,S 11,NA,1,13,2,14,114,114,22689,G00022227,S 11
NA,DIVISION AVE,NA,1,19,2,18,114,191,22690,G00022228,DIVISION AVE
NA,CLYMER,NA,1,33,2,24,190,190,22691,G00022229,CLYMER
NA,UNION,NA,1831,1901,1790,1858,242,242,22692,G00022230,UNION
NA,MALBONE,NA,31,99,32,98,239,239,22693,G00022231,MALBONE
NA,MALBONE,NA,101,171,100,170,241,241,22694,G00022232,MALBONE
NA,MONTGOMERY,NA,129,191,128,196,240,240,22695,G00022233,MONTGOMERY
NA,MONTGOMERY,NA,193,273,198,278,240,240,22696,G00022234,MONTGOMERY
NA,FLATBUSH AVE,NA,NA,NA,NA,NA,71,NA,22705,G00022235,FLATBUSH AVE
NA,MONTGOMERY,NA,NA,NA,NA,NA,71,NA,22706,G00022236,MONTGOMERY
NA,FLATBUSH AVE,NA,NA,NA,NA,NA,71,NA,22707,G00022237,FLATBUSH AVE
NA,CROWN,NA,NA,NA,NA,NA,71,71,22708,G00022238,CROWN
NA,FLATBUSH AVE,NA,NA,NA,NA,NA,71,NA,22709,G00022239,FLATBUSH AVE
NA,CARROLL,NA,NA,NA,NA,NA,71,71,22710,G00022240,CARROLL
NA,FLATBUSH AVE,NA,NA,NA,NA,NA,71,NA,22711,G00022241,FLATBUSH AVE
NA,PRESIDENT,NA,NA,NA,NA,NA,71,71,22712,G00022242,PRESIDENT
NA,FLATBUSH AVE,NA,NA,NA,NA,NA,71,NA,22713,G00022243,FLATBUSH AVE
NA,UNION,NA,NA,NA,NA,NA,71,71,22714,G00022244,UNION
