OBJECTID,GlobalID,JoinID,State,City,Boro,FULL_STREE,y1910Valid,y1910_gcheck,y1910DirStreet,y1910NameStreet,y1910Left_Low,y1910Left_High,y1910Right_Low,y1910Right_High,y1910Issue,y1910ParityLeft,y1910ParityRight,y1910Unopened,y1910NameALT,y1910_hnyc_street,JoinID_1910,Shape__Length,CreationDate,Creator,EditDate,Editor,Shape__Length_2,CreationDate_1,Creator_1,EditDate_1,Editor_1,Issue_General,y1910ED_Left,y1910ED_Right
309,{00000000-0000-0000-0000-000000000000},G00000045,NY,NEW YORK,MANHATTAN,BROADWAY ALY,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,BROADWAY ALY,G00000045,257.357565406805,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,257.357554077802,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:30,HNYC_COLUMBIA,NA,987,987
310,{00000000-0000-0000-0000-000000000000},G00000046,NY,NEW YORK,MANHATTAN,W 34,1,1,NA,NA,100,170,101,171,NA,NA,NA,NA,NA,W 34,G00000046,851.533723680215,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,851.533686185715,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:30,HNYC_COLUMBIA,NA,1190,1192
311,{00000000-0000-0000-0000-000000000000},G00000047,NY,NEW YORK,MANHATTAN,AMSTERDAM AVE,1,1,NA,NA,1740,1758,1739,1759,NA,NA,NA,NA,NA,AMSTERDAM AVE,G00000047,260.373722813171,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/13/2019 1:55:31,AMV2173_COLUMBIA,260.373711341603,7/22/2019 17:22:53,HNYC_COLUMBIA,3/19/2020 15:49:33,MSL2215_COLUMBIA,NA,699,659
312,{00000000-0000-0000-0000-000000000000},G00000048,NY,NEW YORK,MANHATTAN,LAFAYETTE CT,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,LAFAYETTE CT,G00000048,103.932940030906,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,103.932935466722,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:30,HNYC_COLUMBIA,NA,938,938
313,{00000000-0000-0000-0000-000000000000},G00000049,NY,NEW YORK,MANHATTAN,BROADWAY,1,1,NA,NA,NA,NA,2500,2518,NA,NA,NA,NA,NA,BROADWAY,G00000049,260.255829968246,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/22/2019 18:22:25,AMV2173_COLUMBIA,260.255818507384,7/22/2019 17:22:53,HNYC_COLUMBIA,3/10/2020 18:51:28,MSL2215_COLUMBIA,NA,742,742
314,{00000000-0000-0000-0000-000000000000},G00000050,NY,NEW YORK,MANHATTAN,MULBERRY,1,1,NA,NA,297,315,296,314,NA,NA,NA,NA,NA,MULBERRY,G00000050,381.737566441552,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,381.737549644512,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:30,HNYC_COLUMBIA,NA,819,819
315,{00000000-0000-0000-0000-000000000000},G00000051,NY,NEW YORK,MANHATTAN,W 147,1,1,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,W 147,G00000051,50.9847755257503,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/22/2019 19:39:04,AMV2173_COLUMBIA,50.9847732780436,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:31,HNYC_COLUMBIA,NA,513,513
316,{00000000-0000-0000-0000-000000000000},G00000052,NY,NEW YORK,MANHATTAN,ELDRIDGE,1,1,NA,NA,151,187,150,186,NA,NA,NA,NA,NA,ELDRIDGE,G00000052,447.641356790221,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/12/2019 2:28:28,AMV2173_COLUMBIA,447.64133707936,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:31,HNYC_COLUMBIA,NA,206,207
317,{00000000-0000-0000-0000-000000000000},G00000053,NY,NEW YORK,MANHATTAN,E 46,1,1,NA,NA,301,353,300,350,NA,NA,NA,NA,NA,E 46,G00000053,743.330203404929,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,743.330170670619,7/22/2019 17:22:53,HNYC_COLUMBIA,3/15/2020 15:42:16,EMC2199_COLUMBIA,NA,1103,1104
318,{00000000-0000-0000-0000-000000000000},G00000054,NY,NEW YORK,MANHATTAN,BEDFORD,1,1,NA,BEDFORT,31,37,24,30,NA,NA,NA,NA,NA,BEDFORT,G00000054,204.356981562522,7/10/2019 23:07:10,DPM2159_COLUMBIA,7/10/2019 23:07:10,DPM2159_COLUMBIA,204.356972582956,7/22/2019 17:22:53,HNYC_COLUMBIA,3/4/2020 18:22:31,HNYC_COLUMBIA,NA,134,134
